"Community.Area.Number","COMMUNITY.AREA.NAME","HARDSHIP.INDEX.SCORE","PERCENT.OF.CROWDED.HOUSING","PERCENT.OF.HOUSEHOLDS.WITH.INCOME.BELOW.POVERTY.LEVEL","UNEMPLOYMENT.RATE.FOR.POPULATION.AGE.16.and.OVER","PERCENT.AGED.25..AND.OVER.WITH.NO.HIGH.SCHOOL.DIPLOMA","PERCENT.POPULATION.UNDER.AGE.18.AND.OVER.AGE.64","PER.CAPITA.INCOME","housing","unemployment","poverty","education","dependency","income","trial7"
45,"Avalon Park",42.4,2.5,17.4,22.2,10.5,38.8,23395,12.751677852349,49.7237569060774,26.3157894736842,15.7996146435453,70.0581395348837,79.7467871230436,42.3992942555972
46,"South Chicago",55.8,4.9,30.2,21.6,25.4,40.2,15748,28.8590604026846,48.0662983425414,49.546279491833,44.5086705202312,74.1279069767442,89.4770327013615,55.764208072566
47,"Burnside",53.4,6.8,27.6,16.1,21.8,39.7,14905,41.6107382550336,32.8729281767956,44.8275862068966,37.5722543352601,72.6744186046512,90.5496882555032,53.3512689723567
48,"Calumet Heights",39.7,1.5,10.7,21.2,10.5,42.5,27390,6.04026845637584,46.9613259668508,14.1560798548094,15.7996146435453,80.8139534883721,74.663443186156,39.7391142660182
49,"Roseland",50.5,2.8,23.6,24.9,16.2,41.9,17146,14.7651006711409,57.182320441989,37.5680580762251,26.7822736030828,79.0697674418604,87.6981804300802,50.5109501107297
50,"Pullman",45.4,1,24.8,25.7,15.4,36,20312,2.68456375838926,59.3922651933702,39.7459165154265,25.2408477842004,61.9186046511628,83.6696780760911,45.4419793297734
51,"South Deering",52.6,3.8,27.4,21.7,21.3,40.3,15213,21.4765100671141,48.3425414364641,44.464609800363,36.6088631984586,74.4186046511628,90.1577808881537,52.5781516736194
52,"East Side",53.9,6.8,17.2,17.8,30,41.2,17019,41.6107382550336,37.5690607734807,25.9528130671506,53.3718689788054,77.0348837209302,87.859778597786,53.8998572321977
53,"West Pullman",53.8,3.5,29.4,25.6,19,40.5,16259,19.4630872483221,59.1160220994475,48.0943738656987,32.1772639691715,75,88.8268227509861,53.7795949889377
54,"Riverdale",82.7,8,58,40.4,26.5,49.1,7478,49.6644295302013,100,100,46.6281310211946,100,100,82.715426758566
55,"Hegewisch",40.2,3.2,16.3,9.4,18,40.9,24036,17.4496644295302,14.3646408839779,24.3194192377495,30.2504816955684,76.1627906976744,78.9311617254104,40.2463597783185
56,"Garfield Ridge",35.4,2.3,8.3,12,17.8,36.9,26893,11.4093959731544,21.5469613259669,9.80036297640653,29.8651252408478,64.5348837209302,75.2958391652882,35.4087614004323
57,"Archer Heights",54.4,9.8,14.6,14.3,32.2,38.5,16507,61.744966442953,27.9005524861879,21.2341197822142,57.6107899807322,69.1860465116279,88.5112609746787,54.364622696399
58,"Brighton Park",65.4,12.6,24.9,14.8,45.7,37.5,12981,80.5369127516778,29.2817679558011,39.9274047186933,83.6223506743738,66.2790697674419,92.9978368749205,65.4408904571514
59,"McKinley Park",50,5.8,21.6,14,31.1,35.8,17374,34.8993288590604,27.0718232044199,33.9382940108893,55.4913294797688,61.3372093023256,87.4080671841201,50.024342006764
60,"Bridgeport",41.2,4.3,20.1,13.2,23.1,30.2,22319,24.8322147651007,24.8618784530387,31.2159709618875,40.0770712909441,45.0581395348837,81.1159180557323,41.1935321769311
61,"New City",69.1,11.6,31.8,24.9,37.3,38.8,12426,73.8255033557047,57.182320441989,52.4500907441016,67.4373795761079,70.0581395348837,93.7040335920601,69.1095778741412
62,"West Elsdon",52.3,8.3,15.2,13.4,31,38.7,15921,51.6778523489933,25.414364640884,22.3230490018149,55.2986512524085,69.7674418604651,89.2569029138567,52.2897103364037
63,"Gage Park",70.6,15.4,23.8,16.2,48.9,38.5,11814,99.3288590604027,33.1491712707182,37.9310344827586,89.7880539499037,69.1860465116279,94.4827586206897,70.6443206493501
64,"Clearing",35.9,2.9,9.6,10.3,16.5,37.2,24451,15.4362416107383,16.8508287292818,12.1597096188748,27.3603082851638,65.406976744186,78.4031047207024,35.9361949514912
65,"West Lawn",50.9,6.8,16.2,12.9,33.5,38.1,17237,41.6107382550336,24.0331491712707,24.1379310344828,60.1156069364162,68.0232558139535,87.5823896169996,50.9171784713594
66,"Chicago Lawn",61.1,7.6,31.4,22.4,30.3,38.8,12673,46.9798657718121,50.2762430939227,51.7241379310345,53.9499036608863,70.0581395348837,93.38974424227,61.0630057058015
67,"West Englewood",64.8,4.8,34.6,36.8,25.3,40.4,12073,28.1879194630872,90.0552486187845,57.5317604355717,44.3159922928709,74.7093023255814,94.1532001526912,64.8255705480978
68,"Englewood",68.9,4.1,48.3,36.8,28.5,39.5,11281,23.489932885906,90.0552486187845,82.3956442831216,50.4816955684008,72.0930232558139,95.1609619544471,68.9460844277457
69,"Greater Grand Crossing",54.8,4.2,34.6,25.8,15.1,40.1,16324,24.1610738255034,59.6685082872928,57.5317604355717,24.6628131021195,73.8372093023256,88.7441150273572,54.767579996695
70,"Ashburn",37.6,3.5,10.8,13,16.3,35.7,23404,19.4630872483221,24.3093922651934,14.3375680580762,26.9749518304432,61.046511627907,79.7353352843873,37.6444743857215
71,"Auburn Gresham",53.5,2.8,28.4,28,17.9,40.7,16432,14.7651006711409,65.7458563535912,46.2794918330309,30.0578034682081,75.5813953488372,88.6066929634814,53.5060567730483
72,"Beverly",23.3,1.2,4.2,7.4,2.7,38,41789,4.02684563758389,8.83977900552486,2.35934664246824,0.770712909441234,67.7325581395349,56.3417737625652,23.3451693495197
73,"Washington Height",42.7,1.5,17.2,23.2,11.2,38.8,19806,6.04026845637584,52.4861878453039,25.9528130671506,17.1483622350674,70.0581395348837,84.3135258938796,42.6665495054435
74,"Mount Greenwood",26.6,2,4.7,8.6,4.7,36.7,33893,9.39597315436242,12.1546961325967,3.26678765880218,4.6242774566474,63.953488372093,66.3888535437079,26.6306793863683
75,"Morgan Park",37.2,1.9,14.4,14,11.2,39.5,25167,8.7248322147651,27.0718232044199,20.8711433756806,17.1483622350674,72.0930232558139,77.4920473342664,37.2335386033356
76,"O'Hare",36.7,4.7,18.1,8.9,11.7,33.6,23908,27.5167785234899,12.9834254143646,27.5862068965517,18.111753371869,54.9418604651163,79.0940323196335,36.7056761651708
77,"Edgewater",28.6,4.2,17.6,9.3,9.2,24.7,35300,24.1610738255034,14.0883977900553,26.6787658802178,13.2947976878613,29.0697674418605,64.5985494337702,28.6485586765447
